index,Source airport,Destination airport,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude
45810,JED,LHE,21.679,39.156,31.521,74.403
45811,JED,MUX,21.679,39.156,30.203,71.419
45812,JED,PEW,21.679,39.156,33.994,71.514
45814,JFK,LHE,40.64,-73.779,31.521,74.403
45815,KBL,ISB,34.566,69.212,33.616,73.099
45816,KBL,PEW,34.566,69.212,33.994,71.514
45818,KHI,AUH,24.906,67.161,24.433,54.651
45820,KHI,BOM,24.906,67.161,19.089,72.868
45821,KHI,DAC,24.906,67.161,23.843,90.398
45823,KHI,DEL,24.906,67.161,28.566,77.103
45824,KHI,DMM,24.906,67.161,26.471,49.798
45825,KHI,DXB,24.906,67.161,25.255,55.364
45826,KHI,GWD,24.906,67.161,25.233,62.329
45827,KHI,ISB,24.906,67.161,33.616,73.099
45828,KHI,JED,24.906,67.161,21.679,39.156
45829,KHI,KTM,24.906,67.161,27.696,85.359
45830,KHI,KUL,24.906,67.161,2.746,101.71
45831,KHI,LHE,24.906,67.161,31.521,74.403
45832,KHI,LHR,24.906,67.161,51.477,-0.461
45833,KHI,LYP,24.906,67.161,31.365,72.995
45834,KHI,MCT,24.906,67.161,23.593,58.284
45835,KHI,MED,24.906,67.161,24.553,39.705
45836,KHI,MJD,24.906,67.161,27.335,68.143
45837,KHI,MUX,24.906,67.161,30.203,71.419
45838,KHI,PEW,24.906,67.161,33.994,71.514
45839,KHI,PJG,24.906,67.161,26.954,64.132
45840,KHI,RUH,24.906,67.161,24.957,46.699
45841,KHI,RYK,24.906,67.161,28.385,70.28
45842,KHI,SHJ,24.906,67.161,25.328,55.517
45843,KHI,SKZ,24.906,67.161,27.722,68.792
45845,KHI,UET,24.906,67.161,30.251,66.938
45846,KHI,YYZ,24.906,67.161,43.677,-79.631
45847,KTM,KHI,27.696,85.359,24.906,67.161
45848,KUL,KHI,2.746,101.71,24.906,67.161
45849,KUL,LHE,2.746,101.71,31.521,74.403
45850,KUL,PEW,2.746,101.71,33.994,71.514
45851,KWI,LHE,29.227,47.98,31.521,74.403
45852,KWI,PEW,29.227,47.98,33.994,71.514
45854,LBA,ISB,53.866,-1.661,33.616,73.099
45855,LHE,AUH,31.521,74.403,24.433,54.651
45856,LHE,BAH,31.521,74.403,26.271,50.634
45857,LHE,BCN,31.521,74.403,41.297,2.078
45860,LHE,DEL,31.521,74.403,28.566,77.103
45861,LHE,DMM,31.521,74.403,26.471,49.798
45862,LHE,DOH,31.521,74.403,25.261,51.565
45863,LHE,DXB,31.521,74.403,25.255,55.364
45864,LHE,ISB,31.521,74.403,33.616,73.099
45865,LHE,JED,31.521,74.403,21.679,39.156
45866,LHE,KHI,31.521,74.403,24.906,67.161
45867,LHE,KUL,31.521,74.403,2.746,101.71
45868,LHE,KWI,31.521,74.403,29.227,47.98
45869,LHE,LHR,31.521,74.403,51.477,-0.461
45870,LHE,MAN,31.521,74.403,53.354,-2.275
45871,LHE,MCT,31.521,74.403,23.593,58.284
45872,LHE,MED,31.521,74.403,24.553,39.705
45873,LHE,MUX,31.521,74.403,30.203,71.419
45874,LHE,MXP,31.521,74.403,45.631,8.728
45875,LHE,OSL,31.521,74.403,60.194,11.1
45876,LHE,PEW,31.521,74.403,33.994,71.514
45877,LHE,RUH,31.521,74.403,24.957,46.699
45878,LHE,RYK,31.521,74.403,28.385,70.28
45879,LHE,SHJ,31.521,74.403,25.328,55.517
45880,LHE,SKZ,31.521,74.403,27.722,68.792
45881,LHE,UET,31.521,74.403,30.251,66.938
45882,LHE,YYZ,31.521,74.403,43.677,-79.631
45883,LHR,ISB,51.477,-0.461,33.616,73.099
45884,LHR,KHI,51.477,-0.461,24.906,67.161
45885,LHR,LHE,51.477,-0.461,31.521,74.403
45886,LYP,KHI,31.365,72.995,24.906,67.161
45887,MAN,ISB,53.354,-2.275,33.616,73.099
45888,MAN,JFK,53.354,-2.275,40.64,-73.779
45889,MAN,LHE,53.354,-2.275,31.521,74.403
45890,MCT,GWD,23.593,58.284,25.233,62.329
45891,MCT,ISB,23.593,58.284,33.616,73.099
45892,MCT,KHI,23.593,58.284,24.906,67.161
45893,MCT,LHE,23.593,58.284,31.521,74.403
45894,MCT,PEW,23.593,58.284,33.994,71.514
45897,MED,ISB,24.553,39.705,33.616,73.099
45898,MED,KHI,24.553,39.705,24.906,67.161
45899,MED,LHE,24.553,39.705,31.521,74.403
45900,MED,MUX,24.553,39.705,30.203,71.419
45902,MJD,KHI,27.335,68.143,24.906,67.161
45903,MJD,SKZ,27.335,68.143,27.722,68.792
45904,MUX,ISB,30.203,71.419,33.616,73.099
45905,MUX,JED,30.203,71.419,21.679,39.156
45906,MUX,KHI,30.203,71.419,24.906,67.161
45907,MUX,LHE,30.203,71.419,31.521,74.403
45908,MUX,MED,30.203,71.419,24.553,39.705
45909,MUX,SHJ,30.203,71.419,25.328,55.517
45910,MUX,UET,30.203,71.419,30.251,66.938
45911,MXP,CDG,45.631,8.728,49.013,2.55
45912,MXP,ISB,45.631,8.728,33.616,73.099
45913,NRT,PEK,35.765,140.386,40.08,116.584
45914,OSL,CPH,60.194,11.1,55.618,12.656
45915,OSL,ISB,60.194,11.1,33.616,73.099
45916,PEK,ISB,40.08,116.584,33.616,73.099
45917,PEK,NRT,40.08,116.584,35.765,140.386
45918,PEW,AUH,33.994,71.514,24.433,54.651
45920,PEW,DOH,33.994,71.514,25.261,51.565
45922,PEW,ISB,33.994,71.514,33.616,73.099
45923,PEW,JED,33.994,71.514,21.679,39.156
45924,PEW,KBL,33.994,71.514,34.566,69.212
45925,PEW,KHI,33.994,71.514,24.906,67.161
45926,PEW,KUL,33.994,71.514,2.746,101.71
45927,PEW,KWI,33.994,71.514,29.227,47.98
45928,PEW,LHE,33.994,71.514,31.521,74.403
45929,PEW,MCT,33.994,71.514,23.593,58.284
45930,PEW,RUH,33.994,71.514,24.957,46.699
45931,PEW,SHJ,33.994,71.514,25.328,55.517
45932,PJG,KHI,26.954,64.132,24.906,67.161
45934,PZH,UET,31.358,69.463,30.251,66.938
45935,RUH,ISB,24.957,46.699,33.616,73.099
45936,RUH,KHI,24.957,46.699,24.906,67.161
45937,RUH,LHE,24.957,46.699,31.521,74.403
45938,RUH,PEW,24.957,46.699,33.994,71.514
45940,RYK,AUH,28.385,70.28,24.433,54.651
45941,RYK,KHI,28.385,70.28,24.906,67.161
45942,RYK,LHE,28.385,70.28,31.521,74.403
45944,SHJ,ISB,25.328,55.517,33.616,73.099
45945,SHJ,KHI,25.328,55.517,24.906,67.161
45946,SHJ,LHE,25.328,55.517,31.521,74.403
45947,SHJ,MUX,25.328,55.517,30.203,71.419
